jan,ec_name,kaitori_name,kaitori_price,yahoo_price,shipping,profit,profit_rate,point_rate,effective_cost,effective_profit,effective_profit_rate,note,kaitori_url,category
4948872017084,『中古即納』{ACC}{PS5} PlayStation Portal(プレイステーション ポータル) リモートプレーヤー SIE(CFIJ-18000)(20231115),PlayStation Portal リモートプレーヤー CFIJ-18000,34500,27580,600,6320,0.2292,0.05,26201,7699,0.2938,要確認: 中古,https://www.kaitorishouten-co.jp/category/3/280,PS5用周辺機器、アクセサリー
4549995429213,【中古】Apple docomo 【SIMフリー】 iPhone 15 Pro 128GB ホワイトチタニウム MTU83J/A【福岡天神】保証期間１ヶ月【ランクC】,iPhone 15 Pro 128GB 白,79000,78980,600,-580,-0.0073,0.05,75031,3369,0.0449,要確認: 中古,https://www.kaitorishouten-co.jp/category/2/669,iPhone本体
4521329462127,5月22日発売 予約 15パック ばら売り レビュー特典 ポケモンカードゲーム MEGA 拡張パック アビスアイ,ポケモンカードゲーム MEGA 拡張パック アビスアイ BOX,6500,3340,600,2560,0.7665,0.05,3173,2727,0.8594,要確認: ばら売り,https://www.kaitorishouten-co.jp/category/3/533,トレーディングカード
4521329431932,ポケモンカードゲーム MEGA ハイクラスパック MEGAドリームex BOX,ポケモンカードゲーム MEGA ハイクラスパック MEGAドリームex BOX,15000,15500,600,-1100,-0.071,0.05,14725,-325,-0.0221,,https://www.kaitorishouten-co.jp/category/3/722,トレーディングカード
4902370553871,Switch 2　Joy-Con 2（L）ライトパープル/（R）ライトグリーン（ジョイコン２ＬＲ）（ポスト投函便不可）（26/2/12発売）【新品】,Nintendo Switch Joy-Con 2 (L) ライトパープル/(R) ライトグリーン,9500,9980,600,-1080,-0.1082,0.05,9481,-581,-0.0613,,https://www.kaitorishouten-co.jp/category/3/703,Nintendo Switch 2用周辺機器
4902370553802,Nintendo Switch 2 Proコントローラー バイオハザードレクイエム エディション（ポスト投函便不可）（26/2/27発売）【新品】,Nintendo Switch 2 Proコントローラー バイオハザード レクイエム エディション BEE-A-FSSKD,9900,10680,600,-1380,-0.1292,0.05,10146,-846,-0.0834,,https://www.kaitorishouten-co.jp/category/3/703,Nintendo Switch 2用周辺機器
4948872017183,ASTRO BOT [PS5] ゲームソフト PlayStation5 アストロボット[ラッピング不可] R-LOGI,アストロボット/PS5,5200,5920,600,-1320,-0.223,0.05,5624,-1024,-0.1821,,https://www.kaitorishouten-co.jp/category/3/514,PS5用ソフト（パッケージ版）
4902370553963,Switch　トモダチコレクション　わくわく生活（26/4/16発売）【新品】【ポスト投函便送料無料】,トモダチコレクション わくわく生活/Switch,5500,6250,600,-1350,-0.216,0.05,5938,-1038,-0.1748,,https://www.kaitorishouten-co.jp/category/3/71,Switch用ソフト（パッケージ版）
4902370554359,任天堂 (Switch2)スプラトゥーン レイダース 返品種別B,スプラトゥーン レイダース/Switch 2,6000,6810,600,-1410,-0.207,0.05,6470,-1070,-0.1654,,https://www.kaitorishouten-co.jp/category/3/71,Switch 2用ソフト（パッケージ版）
4902370554205,任天堂 (Switch2)Joy-Con 2 (L) ブルー/ (R) ライトイエロー 返品種別B,Nintendo Switch 2 Joy-Con 2 (L) ブルー/(R) ライトイエロー,9000,9980,600,-1580,-0.1583,0.05,9481,-1081,-0.114,,https://www.kaitorishouten-co.jp/category/3/703,Nintendo Switch 2用周辺機器
4595057030071,【送料無料・即日出荷・新品】PS5 Minecraft (マインクラフト) 070691 マイクラ,Minecraft/PS5,1900,2510,600,-1210,-0.4821,0.05,2384,-1084,-0.4547,,https://www.kaitorishouten-co.jp/category/3/514,PS5用ソフト（パッケージ版）
4948872017305,Ghost of Yote PS5用ソフト（パッケージ版）,Ghost of Yotei/PS5,6300,7179,600,-1479,-0.206,0.05,6820,-1120,-0.1642,,https://www.kaitorishouten-co.jp/category/3/514,PS4用ソフト（パッケージ版）
8806095700670,在庫あり[メール便OK]【新品】【NS2H】Samsung microSD Express Card 256GB for Nintendo Switch 2【メール便限定送料無料】,Samsung microSD Express Card 256GB for Nintendo Switch 2 BEE-A-SD01B,5900,6799,600,-1499,-0.2205,0.05,6459,-1159,-0.1794,,https://www.kaitorishouten-co.jp/category/3/703,PCサプライ、アクセサリーその他
4902370552829,Nintendo 【Switch 2】 Joy-Con 2 充電グリップ,Nintendo Switch Joy-Con 2 充電グリップ,3200,3980,600,-1380,-0.3467,0.05,3781,-1181,-0.3124,,https://www.kaitorishouten-co.jp/category/3/703,Nintendo Switch用周辺機器
8809459216602,H2 INTERACTIVE (PS5)007 ファースト・ライト 返品種別B,007 ファースト・ライト/PS5,7000,8010,600,-1610,-0.201,0.05,7610,-1210,-0.159,,https://www.kaitorishouten-co.jp/category/3/71,PS5用ソフト（パッケージ版）
4902370554113,任天堂 (Switch2)スーパーマリオブラザーズ ワンダー Nintendo Switch 2 Edition ＋ みんなでリンリンパーク 返品種別B,スーパーマリオブラザーズ ワンダー Nintendo Switch 2 Edition ＋ みんなでリンリンパーク/Switch 2,6700,7720,600,-1620,-0.2098,0.05,7334,-1234,-0.1683,,https://www.kaitorishouten-co.jp/category/3/701,Switch 2用ソフト（パッケージ版）
4902370552843,【07/24頃入荷分☆】【新品】【NS2H】Nintendo Switch 2 Proコントローラー/Proコン2 プロコン,Nintendo Switch 2 Proコントローラー,8700,9899,600,-1799,-0.1817,0.05,9404,-1304,-0.1387,,https://www.kaitorishouten-co.jp/category/3/703,PCサプライ、アクセサリーその他
4965857104454,イマジニア (Switch)Fit Boxing 3 -Your パーソナルトレーナー- 返品種別B,Fit Boxing 3 -Your パーソナルトレーナー,4900,5920,600,-1620,-0.2736,0.05,5624,-1324,-0.2354,,https://www.kaitorishouten-co.jp/category/3/89,Switch用ソフト（パッケージ版）
4902370554151,任天堂 (Switch2)ヨッシーとフカシギの図鑑 返品種別B,ヨッシーとフカシギの図鑑/Switch 2,6100,7260,600,-1760,-0.2424,0.05,6897,-1397,-0.2026,,https://www.kaitorishouten-co.jp/category/3/71,Switch 2用ソフト（パッケージ版）
4902370554243,任天堂 (Switch2)ゼノブレイドクロス ディフィニティブエディション Nintendo Switch 2 Edition 返品種別B,ゼノブレイドクロス ディフィニティブエディション/Switch 2,6300,7480,600,-1780,-0.238,0.05,7106,-1406,-0.1979,,https://www.kaitorishouten-co.jp/category/3/71,Switch 2用ソフト（パッケージ版）
4521329460420,ポケモン (Switch2)ぽこ あ ポケモン 返品種別B,ぽこ あ ポケモン/Switch 2,7000,8260,600,-1860,-0.2252,0.05,7847,-1447,-0.1844,,https://www.kaitorishouten-co.jp/category/3/701,Switch 2用ソフト（パッケージ版）
4902370535730,【新品】任天堂 Nintendo Switch Proコントローラー HAC-A-FSSKA Nintendo Switch【LINE友達限定クーポン発行中】【即日発送、土、祝日発送】【送料無料】,Nintendo Switch Proコントローラー HAC-A-FSSKA,6100,7355,600,-1855,-0.2522,0.05,6987,-1487,-0.2128,,https://www.kaitorishouten-co.jp/category/3/281,Nintendo Switch用周辺機器
4901777237896,【大量入荷！】　サントリー　白州　ノンビンテージ　シングルモルトウイスキー　ベビー　43度　180ml(ベビーサイズ),サントリーシングルモルトウイスキー 白州 180ml43度,2200,3270,600,-1670,-0.5107,0.05,3106,-1506,-0.4849,,https://www.kaitorishouten-co.jp/category/5/494,国産ウイスキー
4902370553550,Nintendo Switch Pokemon LEGENDS Z-A 特典なし ポケモン スイッチ ゲームソフト 新品 ゲーム 【 パッケージ版 】,Pokemon LEGENDS Z-A/Switch,4000,5170,600,-1770,-0.3424,0.05,4912,-1512,-0.3078,,https://www.kaitorishouten-co.jp/category/3/89,Switch用ソフト（パッケージ版）
4988602179910,【送料無料・即日出荷・新品】Nintendo Switch 2 eFootball(TM) Kick-Off！ 020133 ウイイレ キックオフ 2026 新作,eFootball Kick-Off!/Switch 2,2900,4050,600,-1750,-0.4321,0.05,3848,-1548,-0.4023,,https://www.kaitorishouten-co.jp/category/3/8,Switch 2用ソフト（パッケージ版）
4976219137485,カプコン (Switch2)バイオハザード レクイエム 通常版 返品種別B,バイオハザード レクイエム/Switch 2,6800,8180,600,-1980,-0.2421,0.05,7771,-1571,-0.2022,,https://www.kaitorishouten-co.jp/category/3/71,Switch 2用ソフト（パッケージ版）
4902370543278,任天堂 (Switch)リングフィット アドベンチャー 返品種別B,リングフィットアドベンチャー,6600,7980,600,-1980,-0.2481,0.05,7581,-1581,-0.2085,,https://www.kaitorishouten-co.jp/category/3/281,Switch用ソフト（パッケージ版）
